"שם מפלגה","מספר מפלגה","מטרות","כתובת","דואר אלקטרוני","תאריך רישום",
"כולנו בראשות משה כחלון","59-900101-3","מטרות המפלגה: 1.   המפלגה בראשות משה כחלון הוקמה בכדי לחדש את התקווה לחיים טובים לכל אזרח בישראל, וליצירת חברה ראויה שישראלים גאים ורוצים לחיות בה.2.    קיום מנהיגות ציבורית ראויה הפועלת למען העם תוך סטנדרטים של טוהר המידות.3.    חוסן כלכלי-חברתי לאזרחי ישראל באמצעות עידוד התעסוקה בשכר הראוי, העלאת הפריון ועידוד העסקים הקטנים והבינוניים בישראל.4.    יצירת שיוויון הזדמנויות לכלל אזרחי ישראל, שילוב אוכלוסיותהמיעוטים בישראל בחברה ובכלכלה.5.    הוזלת יוקר המחיה בישראל בכל התחומים ובפרט בתחומי הדיור, המזון והפיננסים על ידי עידוד התחרותיות.6.    קיום שירותים יעילים וזולים לאזרח תוך פישוט וקיצור בירוקרטיה מיותרת.7.    יצירת אופק מדיני – בטחוני למדינת ישראל באמצעות פעולה בלתי מתפשרת לשמירת ביטחון אזרחי ישראל לצד שאיפה להסדר מדיני עם שכנינו.8.    טיפוח מערכת בריאות ציבורית שוויונית המעניקה לכל אזרח בישראל זמינות גבוהה ואיכות ראויה של טיפול רפואי.9.    יצירת תחושת ביטחון אישי לאזרח בישראל תוך החמרת הענישה על עבירות רכוש ועבירות אלימות.10.איכות חיים טובה בה צעירים ומבוגרים נהנים מתרבות, אמנות, ספורט, איכות סביבה ראויה ומימוש זכותם הדתית והאישית.   ","רחוב כנפי ישרים 34 ב', ת~ד 4503, ירושלים 9104401 אצל משרד רו~ח ישראל את גאיילר, בית החברה הכלכלית","natihasson@gmail.com","",
"כולנו חברים – נ נח","59-900098-1","","רח' רמב~ם 7, ת~ד 1066, ראש העין 43500","","",
"כח לגימלאים","59-900046-0","מטרות המפלגה :1.לפעול בכל דרך פוליטית וציבורית לשיפור רמת חייהם של הגימלאים והאזרחים הוותיקים ןלמימוש זכותם לקיום הוגן ומכובד.2.לפעול בדרך של יוזמות חקיקה ובכל דרך אחרת לשמירת זכויות הגימלאים והאזרחים הוותיקים בתחומי הפנסיה, הבריאות והביטוח הלאומי.3.לפעול להעשרת תרבות הפנאי, הידע וההשכלה של האוכלוסיה הבוגרת.4.לקדם את ענייניהם של אנשים מוגבלים ונכים בכל גיל.5.לקדם את ענייניהם של ניצולי השואה החיים בישראל.","דיזנגוף 9 תל אביב 64075","","",
"כח להשפיע","59-900087-4","מטרות המפלגה :1.שיפור זכויות אנשים עם מוגבלויות והשוואת הזכויות בין הקבוצות השונות עם מוגבלויות. 2.לחימה למען הפסקת הבירוקרטיה השוחקת בכל צורותיה. 3.מתן השכלה גבוהה חינם לכל אזרח.","תל חי 1 נתניה 42403 (אצל עו~ד אריה סאמרלי)","mailto:yehudadoron1@gmail.com","",
"כל  אזרחיה – כול מואטיניהא","59-900182-3","לקדם את ישראל כדי:1. שתושיט יד שלום ושכנות טובה לכל המדינות השכנות ועמיהן.2. שתהא מחוייבת לפיוס היסטורי בין שתי הקהילות הלאומיות היהודית והפלסטינית.3. שתהא מושתתת על יסודות החרות, הצדק והשלום.4. שתקיים שוויון זכויות חברתי ומדיני גמור לכל אזרחיה בלי הבדלי דת, גזע ומין.5. שתבטיח חופש דת, מצפון, לשון, חינוך ותרבות.6. שתשמור על המקומות הקדושים של כל הדתות.7. שתהיה נאמנה לעקרונותיה של מגילת האומות המאוחדות.","רחוב ליעדאסי, ת~ד 78, כפר קרע אצל עו~ד מוחמד ג.  יחיא    "," myhya@walla.co.il","2022",
"כל ישראל אחים לשוויון חברתי","59-900137-7","מטרות המפלגה:  לחזק את מדינת ישראל כמדינה יהודית דמוקרטית ושוויונית.להביא שוויון וצדק חברתי לחברה הישראלית בדגש לאוכלוסיות מוחלשות בתחום: דיור, תעסוקה, חינוך, כלכלה, רווחה, דת, מורשת ומסורת.לסייע להעלות את יהודי התפוצות למדינת ישראל ולאפשר שילובם בחברה הישראלית.","רחוב מורדי הגטאות 74, ראשון לציון, אצל אדמסו אללי.","alliad2015@gmail.com","",
"כראמה ומוסאוא - כבוד ושוויון","59-900143-5","מטרות המפלגה: קידום חיים משותפים בכבוד ושוויון בין מרכיבי החברה הישראלית.קידום מעורבות החברה הערבית בקבלת החלטות הנוגעות להם.קידום מעמד האישה הערביה ועידוד השתלבותה במוסדות שונים.הכנת תכנית להקמת אזורי תעשייה בישובים הערביים לפתרון בעיות התעסוקה ועידוד משקיעים יהודים וערבים לשם כך.גיבוש תכנית לפתרון בעיית הקרקעות והדיור במגזר הערבי, הכנת תבנית משותפת ~ערבית יהודית~ לפתרון מצוקת הדיור.פתרון הסכסוך הישראלי - פלסטיני והשגת שלום כולל באזור וקידומו עם העולם הערבי.","מענה של המפלגה: רח' אלסלאם 1, חורה (שכ' 7), אצל מחמד אלסייד.","mailto:msayedtv@gmail.com","",
"לב – עולים למען ישראל","59-900053-6","מטרות המפלגה :1.לב הינה מפלגה חברתית אשר שמה לה למטרה לחיזוק ושיפור מצבם הכלכלי והחברתי של אוכלוסיות העולים, שכבות המצוקה וחיילים משוחררים.2.לב תפעל להגדלת המשאבים וההשקעות בתחום החינוך, תוך הרחבתו והפיכתו לזמין, ממשי ושווה לכל כיס, מתוך אמונה כי הערובה האמיתית לחוסנה, אחדותה ועתידה של החברה הישראלית טמונים בחינוך ובהשכלה.3.לב תסייע בפתרון בעיית הדיור של עולים, אוכלוסיות מעוטות יכולת וזוגות צעירים, ע~י קידום פתרונות בתחום הבנייה התקציבית, הגדלת סכומי המשכנתאות והרחבת בסיס הזכאות, תוך שיפור תנאי ההחזר.4.לב תפעל להקלת נטל התשלומים בגין שירותי בריאות המוטלים כיום על השכבות החלשות של החברה הישראלית ותפעל לאישור תוספת ניכרת של מיטות וכ~א בבית החולים.5.לב תפעל למיגור האבטלה האבטלה ע~י הקמת אזורי סחר חופשי בסמוך למוקדי אבטלה, הקמת שדה תעופה בינלאומי נוסף בנגב, בניית קווי רכבת לדרום הארץ והזרמת תקציבים לפרויקטים בתחום התשתיות.6.לב תפעל להגדלת חופשת הלידה בתשלום לשנה, תוך הרחבת בסיס הזכאות לנשים ולגברים ותפעל להשתתפות המדינה עבור הוצאות העסקת מטפלת לפעוטות של נשים עובדות.7.לב תפעל לסייע ולהקל על קליטתם של עולים במקומות עבודה ע~פ מקצועותיהם בארצות מוצאם ותפעל להחשת הליכי הרישוי של מהנדסים ורופאים עולים.8.לב תפעל לחקיקת חוקה לישראל, תוך עיגון הסטטוס קוו הקיים בין הזרמים השונים באוכלוסיה וגיבוש פתרונות בהסכמה לסוגיות שבמחלוקת.","חפץ חיים 10 תל אביב","","",
"לזוז","59-900079-1","מטרות המפלגה :1.לשפר את המצב הכלכלי2.לשפר את המצב החברתי3לשפר את המצב הביטחוני4.לצמצם את תאונות הדרכים ","בעל השאילתות 16, ירושלים אצל יואל דננברג","lazuz2008@gmail.com","",
"לח~ם – לוחמי חברה מאוחדים","59-900074-2","מטרות המפלגה :1.לאגד את כל אזרחי המדינה באשר הם במגמה לפעול במשותף כדי להשיג את המטרות נובעות מערכי היסוד של עם ישראל ומדינת ישראל.2.לפעול לשינוי סדר העדיפויות הלאומי ושינוי חלוקת משאבי המדינה כך שתמנע המשך הפגיעה בזכויות חסרי היכולת לחינוך ראוי, קורת גג, מזון וטיפול רפואי הולם.3.לפעול תוך חתירה לצדק חברתי, הבטחת זכויות האדם, חיזוק ערכי הדמוקרטיה והבטחת זכותו של כל אדם לעבודה, קורת גג, טיפול הולם וינוך ראוי לילדיו.4.לפעול להקטנת הפער החברתי – כלכלי ולקביעת סף מחיה לקיום מינימלי בכבוד, כך שכל אדם אכן יוכל להתכלכל בכבוד.5.לחתור לטיפול יסודי בחקיקה וההסדרים הסוציאליים ולוודא שכל ילד יקבל חינוך ראוי ויוכל להשתתף בכל פעילות בית ספרית בלא קשר ליכולת הכלכלית של משפחתו.6.לפעול למתן אפשרויות תעסוקה לכל מובטל, ועידוד יציאה לעבודה תוך שינוי החקיקה וההסדרים הקיימים כך שהוצאות כגון: משכנתא, גני ילדים וכד' יהיו הוצאה מוכרת לצורכי מס.7.לפעול לשוויון זכויות עם מוגבלויות ולאכיפת המסייעים לאוכלוסיה זו.","רח' ישעיהו 14, תל-אביב","nglaw@netvision.net.il lehem_1@walla.com","",
"למעננו – מן אג'לנא","59-900133-6","מטרות המפלגה:מפלגת למעננו הינה מפלגה חברתית שתפעל על מנת לקדם את הסוגיות החברתיות והכלכליות של החברה הערבית בישראל.מפלגת למעננו תפעל למימוש תכנית מקיפה לפתרון סוגיות חברתיות אזרחיות הנמצאות על סדר יומה של החברה הערבית במטרה להביא לפתרונן הלכה למעשה מתוך הכרה בחשיבות צמצום הפערים וחיזוק מעמד הביניים בחברה הערבית הישראלית.המפלגה תפעל ליצירת הקצאה שיוויונית של משאבים, שדרוג מערכת החינוך והשוואת התוצאות לממוצע הציונים הכללי הישראלי תוך הרחבת מעגל הרוכשים השכלה גבוהה.מיגור הפשיעה והאלימות בחברה הערבית.גיבוש תכנית מקיפה לקידום מעמד הנשים בחברה הערבית.קידום תכנית מתאר ארצית כבסיס לפתרון מצוקת הדיור בחברה הערבית.קידום חקיקה שתסדיר צמצום פערים על ידי מתן הזדמנויות שווה בהשתלבות במקומות תעסוקה.קירוב הלבבות בין האזרחים היהודים הערבים ובני כל הדתות למען ביצור חוסנה של החברה הישראלית.פיתוח התשתיות הפיזיות בערים ובכפרים הערבים.צמצום מספר אי המועסקים והגדלת מספר העובדים בתעשייה ובכלכלה.חיזוקם של סקטור העצמאים במדינה בדגש על העסקים הבינוניים והקטנים.","ת~ד 3, טמרה מיקוד: 3081100","mailto:walediab@gmail.com","",
"מגן– בראשות גל הירש","59-900134-4","מטרות המפלגה:להגן על אחדות עם ישראל ולחזק את השיח הסבלני, המאחד והמחבר.להגן על חבלי מולדת ומרחבי ביטחון של ישראל.להגן על המיעוטים, האחרים והמוחלשים בישראל.להגן על מעמדם של המשרתים בכוחות הביטחון ולחזק אותם ואת בני משפחותיהם.להגן על זכויות האזרחים ועל הצדק במערכת אכיפת החוק.להגן על מרכזיותה של מסורת ישראל והזיקה למורשת עם ישראל.להגן על החינוך והביטחון כראשונים בסדר העדיפויות הלאומי.","רחוב יגאל אלון 65, בנין A קומה 22, תל אביב. אצל: ברוטפלד ושות', משרד עורכי דין.","Info@magenparty.org, eeki@magenparty.org, eekielner@gmail.com","",
"מד~ע – מפלגה דמוקרטית ערבית","59-900013-0","מטרות המפלגה :1.לפעול למתן פתרון הבעיות הכלכליות והחברתיות שמעיקות על אזרחי המדינה ללא הבדלי מין, דת ולאום.2.גישור על הפערים בחברה הישראלית והבטחת שוויון מלא בין כל אזרחי המדינה והעמקת הדו קיום היהודי ערבי במדינת ישראל ובעולם.3.השגת שלום צודק ובר קיימא בין ישראל ושכנותיה, שיתבסס על העקרון של שתי מדינות לשני עמים ישראלי ופלסטיני, סיום הלוחמה והבטחת שיגשוג ורווחה לכל עמי האזור.","רח' קרן היסוד 7/22, ת~ד 205, באר שבע","","",
"מהפך בחינוך","59-900084-1","מטרות המפלגה :מפלגה לאומית חברתית שתפעל לקידום החינוך, ההוראה ואיכות החיים בישראל, להעלאת מעמד המורה, ההשכלה הגבוהה ומערכת החינוך בכללותה, והעלאת החינוך וההוראה בישראל לראש סדר העדיפות הלאומי. התנועה תפעל בין היתר להטמעת והפעלת רפורמות כגון ~עז לתמורה~ במערכת החינוך בישראל.","רח' בילו 16 פתח תקווה","avipi1943@nana10.co.il","",
"מהתחלה","59-900131-0","המטרות:חיזוק ושיפור השירות הציבוריחינוך כיעד אסטרטגי לצמצום פערים.תוכנית אסטרטגית לפיתוח ישראל 2040.קידום עסקים קטנים ובינוניים, בריאות וצמיחה.","רחוב הכרם 266, מושב שורש, אצל דוד ארז.","david.erez@gmail.com","",
"מולדת – תנועת נאמני ארץ ישראל ויוצאי התחיה","59-900012-2","מטרות המפלגה :1.תנועת ~מולדת~ קמה כדי לפעול למען ההגשמה הציונית ברוח האבות המייסדים, שראו את זכותנו הבלעדית והבלתי מעורערת על ארץ ישראל ועל שיבת העם היהודי לארצו וזכותו לבנותה כמדינה ריבונית לעצמו בביטחון ובשלום.2.ארץ ישראל המערבית היא חטיבה גיאו-פוליטית אחת ואיננה ניתנת לחלוקה לישויות מדיניות נפרדות ולפיכך עליה להישאר לעד בידי העם היהודי ומדינת ישראל.  ארץ ישראל המערבית ורמת הגולן הם המיזער הנדרש לגבולות בני הגנה.3.תנועת ~מולדת~ היא תנועה המאמינה באחדות הבלתי נפרדת של תורת ישראל, עם ישראל וארץ ישראל.","דרך שכם 12 ת~ד 1522 ירושלים","","",
"מורשת אבות","59-900023-9","מטרות המפלגה :1.סיסמתנו – ~כל ארץ ישראל לכל עם ישראל לפי תורת ישראל~2.החינוך למורשת אבות הינו יסוד בחיי העם היהודי לדורותיו ולכן יושקעו כל המשאבים הנדרשים לחיזוק החינוך היהודי ע~י יום לימודים ארוך, חינוך חובה לכל הגילאים, והעמקת ידיעת מורשת-אבות לכלל התלמידים.3.תקבע מדיניות של ביטול העוני ומניעת פערים בין עניים לעשירים תוך העדפת משפחות ברוכות-ילדים.","ת~ד 318 מושב יגל 71696","ilan@im-il.co.il","",
"מחנה ישראל","59-900153-4","מטרות המפלגה: איחוד הכוחות הנאמנים לה' ולתורתו להובלת הנהגה ציבורית ללא מחיצות של עדה או מגזר.הגברת הזהות היהודית של המדינה בכל תחומי החיים וחתירה לשמירה על שלמות התורה שלמות העם ושלמות הארץ.חיזוק והעצמת הנוכחות, ההתיישבות, השליטה והביטחון בכל מרחבי ארץ ישראל. התנגדות מוחלטת לכל ויתור על חלק מהארץ ומסירתו לעם זר.העצמת ההרתעה של מדינת ישראל אל מול אויביה והשגת ביטחון ושלום אמת עם המדינות הסובבות אותנו.מערכת משפט מתוקנת על פי תורתנו הקדושה.מדיניות רווחה על פי תורה. יצירת איזונים נכונים כפי שהתורה מחייבת, בין זכויות הקנין והממון של כל אדם, לבין חובתה של החברה להגן על החלש והנזקק ולאפשר לו חיים בכבוד.החינוך היהודי כתשתית רעיונית במערכת החינוך.אור לגויים – הפצת אור ישראל לכל העולם וחינוך לקיום שבע מצוות בני נח.קידום גאולת עם ישראל בארצו, ודאגה ליהודי בכל מקום בעולם.","רחוב חיים ויטל 18, ת~ד 34044, ירושלים 9547018 אצל: עמית גרון","amchagit@gmail.com","",
"מימד – מדינה יהודית מדינה דמוקרטית","59-900041-1","מטרות המפלגה :1.לייצג, לטפח, לחזק ולהפיץ את הערכים של הציונות הדתית בארץ ומחוצה לה.2.לשמש ולטפח גשר של הבנה, סובלנות והערכה בין הציבור הדתי והחילוני בישראל ולפעול למען אחדות העם בישראל ובתפוצות הגולה.3.לעשות לביצורה, חיזוקה, בטחונה ובניינה של מדינת ישראל והשפיע של החיים החברתיים, הכלכליים, הרוחניים והמדיניים במדינת ישראל על יסודות של תורת ישראל, אהבת ישראל, ערכי נדמוקרטיה וקיום העם והמדינה.","רח' ישראל אלדד 3/36, ירושלים 9339910. אצל: הרב מיכאל מלכיאור.","","",
"מנהיגות יהודית לישראל","59-900056-9","מטרות המפלגה :1.השבת ההוויה הישראלית ומדינת ישראל מתוך בחירה חופשית וללא כפיה למקורות היהדות ותורת ישראל.2.העמדת מנהיגות שתוביל את מדינת ישראל בהרשאת תורת ישראל וערכי התרבות וההיסטוריה היהודית לקראת הגשמת שאיפת הדורות לגאולה שלמה.","עמק רפאים 32 ירושלים 93105","sdcasper@netvision.net.il","",
"מנהיגות מקומית משנים את המשוואה","59-900112-0"," מטרות המפלגה:א. בניית חברה המאמינה בערכי השוויון, הצדק והחירות לאורה של מגילת העצמאות של ישראל.ב. חזיוק הנציגות הנבחרת בשלטון המקומי בישראל.ג. חיזוק השפעת תושבי הרשויות המקומיות והאזוריות על קובעי המדיניות בישראל.","רח' קרליבך 1 קומה 7 תל אביב-יפו 6713205, כתובת למשלוח מכתבים: ת~ד 20596 תל אביב יפו 6120402","info@mekomi.org.il","",
"מפ~ם מפלגת הפועלים המאוחדת","59-900004-9","מטרות המפלגה :1.לפעול למען מדינת ישראל דמוקרטית והומנית ושויון לכל אזרחיה ללא הבדל לאום, דת ומין.2.לפעול למען מדינת-ישראל מושתת על ערכי עבודה, צדק סוציאלי ואחוות עמלי העיר, הכפר והקיבוץ.3.לפעול למען שלום צודק בין ישראל ועמי האיזור, שיתוף פעולה וסולידריות בין העמים.","קבוץ להב","","",
"מפלגה מתקדמת ליברלית דמוקרטית","59-900060-1","מטרות המפלגה :1.חיזוק ערכי מדינת ישראל כמדינה יהודית ודמוקרטית.2.קידום ערכי צדק, שוויון, חינוך וכלכלה.3.קידום ענייני בטחון המדינה.4.קידום הליכי הסכם שלום עם מדינות שכנות בדרכים דיפלומטיות.5.חיזוק ועידוד עליית יהודים למדינת ישראל.6.קידום וחיזוק קשרי שיתוף דיפלומטיים וכלכליים עם מדינות העולם בכלל ומדינות אירופה ורוסיה בפרט. ","יגיע כפיים 1 תל אביב","","",
"מפלגה ערבית איסלמית","59-900028-8","מטרות המפלגה :1.שמירה והגנה על הזכויות האזרחיות והדתיות למגזר הערבי בישראל, שמירה על הצדק החברתי והמאבק באפליה ובגזענות בכל צורותיה, ובראש מעיינה שחרור ההקדש האסלמי וניהולי בידי וועדות אסלמיות נבחרות.2.תמיכה בתהליך השלום ובשלום צודק וכולל בכל האזור.3.לשרת את האוכלוסיה הערבית ואת האינטרסים שלה בכנות ולעשות ככל שניתן לצורך אחדות האוכלוסיה הערבית בישראל.4.לפעול למען העדפת המגזר הערבי בתקציבים לצורך קבלת שיוויון זכויות מלא בהשוואה למגזר היהודי ולהשיג מטרה זו יחד עם המפלגות היהודיות הדמוקרטיות התומכות בשלום ובשוויון.5.לפעול ככל שניתן להקמת קואליציה ערבית רחבה לכל הכוחות הפועלים במגזר הערבי לצורך שירות ענייני ויעיל לאוכלוסיה הערבית ולרווחתה.","ת~ד 30417 טייבה 40400","","",
"מפלגת  פנינה רוזנבלום","59-900035-3","מטרות המפלגה :1.לפעול למען קידום זכויות האישה והפרט בישראל.2.לפעול למען חיזוק הכלכלה וקידום העצמאים בישראל.3.לפעול למען חיזוק מבנה החברה בישראל.4.לפעול למען קידום וחיזוק החינוך בישראל.5.לפעול למען ציבור הגימלאים בישראל.6.לפעול למען קידום השלום והביטחון במזרח התיכון.","מגדל ב.ס.ר 2 בן גוריון 1 רמת גן 51201","pnina@pnina.net","",
"מפלגת באנו","59-900167-4","מטרות המפלגה הן:ליצור מערכת שלטונית החותרת לשיפור מתמיד של חיי האזרח ומעמידה את איכות החיים של הפרט בישראל בראש סדר העדיפויות.לצמצם את המתחים בין הקהילות השונות בישראל ולחזק את הדומה והשווה בין האזרחים כדי לחיות בשלום ובאחדות למרות המגוון וההבדלים.ליצור מתווה של שיתוף פעולה בין השלטון המקומי לשלטון המרכזי שבאמצעותו יוכלו להגיע להישגים עבור האזרח בכל מקום.לייצר מנהיגות אחרת הדוגלת בהבנה והכלה של השונה והאחר. מנהיגות שמטרתה להוריד את המתחים ולאחות שסעים במדינה בדרכי נועם ובהידברות.","רחוב חירותנו 40, תל אביב יפו אצל דניאל יום טוב","nava.f1@gmail.com","",
"מפלגת גה~ת – גוש התנ~כי","59-900113-8","מטרות המפלגה:הגוש התנ~כי מבסס את עקרונותיו על הבטחות התנ~ך וקדושת התנ~ך גם ליהודים וגם לנוצרים.הגוש התנ~כי מאמין בשלמות המולדת ומתנגד לוויתורים טריטוריאליים כלשהם לאחר הטעויות הטרגיות שנעשו בעזה ובצפון השומרון.הגוש התנ~כי מגן על כל מי שמאמין בתנ~ך ומתנגד לטיהור אתני של יהודים ונוצרים מארץ ישראל. מדובר בנוצרים דוברי ערבית מאזורים דוברי ערבית והיהודים מיהודה ושומרון.יוקם גוש תנ~כי בינלאומי שמרכזו בירושלים שייצג מפלגות בכל העולם הדוגלות בתרבות המערבית היהודית - נוצרית הדמוקרטית.הגוש התנ~כי יפעל לחזק את ישראל על ידי הקמת תכנית לשיפור ההסברה בכל העולם. דוברים יהודים ונוצריים יגויסו לשפר את תדמיתה של ישראל בעולם ולהגן על הדמוקרטיה המערבית.הגוש התנ~כי ימשוך משקיעים מכל העולם ובמיוחד יהודים ונוצרים כדי להניח תשתית כלכלית כדי לפרוץ את צוואר הבקבוק שמונע עלייה ומעודד ירידה מן הארץ.הגוש התנ~כי מאוד מודאג מירידת כ-3 מיליון יהודים שעזבו את הארץ ב-70 שנות קיומה של מדינת ישראל ורואה בכך טרגדיה לאומית. הגוש התנ~כי יפעל לעודד את חזרתם הביתה.הגוש התנ~כי יפעל לקלוט את קרבנות הטרור כעולים חדשים בישראל, כפתרון ליהודים ובני זוגם וקרוביהם הנוצרים שיגיעו יחד לישראל בימים ההם לפי חוק השבות.","רחוב רבי עקיבא 1, ירושלים 9102602, אצל: משרד עו~ד יהודה רוה ושות' – סניף מרכז העיר","yfeiglin@yrlegal.co.il","",
"מפלגת האזרחים הותיקים – מנהיגות חדשה ונמרצת לאזרחים הותיקים","59-900094-0","","רח' ברודצקי 43, תל אביב, אצל עו~ד סער עמית","saaramit1@gmail.com","",
"מפלגת האחדות הלאומית","59-900052-8","מטרות המפלגה :1.קידום האינטרסים של האוכלוסיה הערבית בישראל, לשוויון זכויות מלא, שותפות בקביעת המדיניות החברתית, הכלכלית והפוליטית בכל מוסדות המדינה.2.קידום האינטרסים של אזרחי מדינת ישראל יהודים וערבים למען שלום אמת וצודק בין ישראל ושכנותיה בכלל ובין ישראל והעם הפלסטיני בפרט, שלום המושתת על בסיס שתי מדינות, מדינה פלסטינית עצמאית לצידה של ישראל.3.קידום מעמד האשה בכל התחומים.4.קידום האינטרסים של כלל ציבור העובדים בישראל והעובדים הערבים בפרט.5.לפעול למען חוקה במדינת ישראל שתערוב לדמוקרטיה ושיוויון כלפי כלל האזרחים ללא הבדל לאום, דת, גזע ומין.","ת~ד 6452 אום אל פחם 30010","","",
"מפלגת הבחירה הדמוקרטית","59-900057-7","מטרות המפלגה :1.לפעול לחיזוקה של מדינת ישראל וכינונה כמדינה מפותחת ודמוקרטית שתהיה ראויה לחיי כל אזרחיה ואשר תקדם עליית יהודים לישראל מכל מדינות הגולה.2.לפעול לחיזוק המדינה וקיומה בגבולות בטוחים, המבטיחים לאזרחי המדינה בטחון ושלום.3.לשפר את הניהול הדמוקרטי של מערכות המדינה ולמנוע הפיכת ישראל למדינה תיאוקרטית.4.לשנות סדרי עדיפויות ממלכתיים, תוך כדי העלאת נושא קליטת העלייה לרמת המטרות האסטרטגיות העיקריות של המדינה.5.לפעול לשינוי מערכת החינוך להבטחת קבלת חינוך בסיסי אחיד לכולם.6.לפעול לשינוי ביחסים בין דת למדינה ולהבטיח מימוש מלא של אורח חיים חילוני ודתי ומניעת לחצים מצד כלשהו של משנהו.7.לפעול ליצירת תנאים כלכליים שיאפשרו מתן עדיפויות לעליית היהודים מהגולה.","שדה חמד משק 39 רזניק נינה.","","",
"מפלגת ההתיישבות","59-900031-2","מטרות המפלגה :1.מטרותיה של המפלגה הן לאגד את כל אזרחי המדינה בעיר, בכפר, בקיבוץ ובמושב כדי להשיג את המטרות הנובעות מערכי היסוד של עם ישראל ומדינת ישראל.2.לפעול לארגונה מחדש של המערכת הבנקאית תוך ביזורה, פיצולה והתאמתה למשק הישראלי בהתאם לעקרונות שהונחו את ועדת בייסקי וועדת ברודט.3.לפעול לתיקונים בחקיקה ולישום החוק והפסיקה ביחסי בנק לקוח.4.חתירה לשלום תוך עמידה על כך שגבולות הקבע של מדינת ישראל יושתתו על עקרון מינימום שליטה על עם זר, ומקסימום שליטה טריטוריאלית תוך הבטחת אופיה היהודי והדמוקרטי של מדינת ישראל.5.לפעול להבטחת שלומה בטחונה, התפתחותה ושישוגה הכלכלי, החברתי והלאומי של מדינת ישראל, תוך חתירה לצדק חברתי, הבטחת זכויות אדם, חיזוק ערכי הדמוקרטיה והבטחת זכותו של כל יהודי לעלות לישראל בהתאם לעקרונות מגילת העצמאות.6.לפעול לחקיקת חוקה לישראל.","ת~ד 97, מושב שדמות דבורה, ד.נ. גליל תחתון 15240","","",
"מפלגת הירוקים –  למען ישראל ירוקה - לאיכות הסביבה והחיים בישראל","59-900032-0","מטרות המפלגה :1.לקדם את נושא איכות הסביבה ולהעמידו על סדר היום הציבורי.2.להגביר את המודעות לשמירה על הטבע, החי והצומח מפני פגיעת בני האדם, רשויות ומפעלים תעשייתים.3.לפעול לחקיקת חוקים שעניינם בין היתר שמירה על מרחב המחיה של האדם, החי והצומח וליישומם ואכיפתם של החוקים הקיימים במדינת ישראל בנושאים אלה.","שד' רוטשילד 15 תל אביב","","",
"מפלגת המרכז","59-900054-4","מטרות המפלגה:1.לקיים שלטון דמוקרטי, על בסיס הכרה בערך האדם, זכויות היסוד שלו לקדושת חייו, לחירותיו ולחופש דת ומצפון, ברוח העקרונות שבהכרזה על הקמת מדינת ישראל ובאופן התואם את ערכיה של מדינת ישראל כמדינה יהודית ודמוקרטית.2.להבטיח שיוויון מלא לכלל אזרחיה של מדינת ישראל, ללא הבדל דת, לאום, גזע ומין, ברוח העקרונות שבהכרזה על הקמת מדינת ישראל ובאופן התואם את ערכיה של מדינת ישראל כמדינה יהודית ודמוקרטית.3.לקיים שלטון המכיר בעליונות שלטון החוק, תוך שמירת ערכיה של מדינת ישראל כמדינה יהודית ודמוקרטית ולהשתית את סדרי הממשל והמינהל הציבורי על עקרונות של שלטון החוק, הצדק, השוויון וההגינות, תוך החלתם והפעלתם באופן המבטיח הגנה על זכויות הפרט ובטחונו והשומר על אמון הציבור במוסדות השילטון.4.להסדיר חוקה למדינת ישראל, ברוח העקרונות שבהכרזה על הקמת מדינת ישראל, אשר תגבש, בין היתר, את זכויות היסוד של האדם בישראל ובאופן התואם את ערכיה של מדינת ישראל כמדינה יהודית ודמוקרטית.5.לפעול להגשמת שאיפתו עתיקת הימים של העם היהודי לשלום ולצדק חברתי, ערכים נצחיים במסורת ישראל.6.לקיים מדיניות חוץ ובטחון מתוך רצון להגיע להסדרי שלום צודקים ובני קיימא, אשר יבטיחו את בטחון אזרחי ישראל ואת שמירת הזיקה בין עם ישראל לארצו ומורשתו בתוך גבולות בטוחים ובני קיימא.7.לפעול לחיזוק ירושלים השלמה והמאוחדת כבירת ישראל, בריבונות ישראלית מלאה, תוך הקניית חופש דת ופולחן בה לכלל הדתות והמאמינים בעולם.8.לפעול למען הגבלת התרבות החינוך, לרבות האקדמי, המקצועי והמדעי, בקרב כל האוכלוסיות והעדות השונות בישראל, על בסיס כיבוד תרבותה ומנהגיה של כל אוכלוסייה ועדה, סובלנות וכבוד הדדי ביניהן, באופן שיבטיח, בין היתר, את העמקתם וביסוסם של ערכי היסוד, שעל פיהם מושתתת מדינת ישראל כמדינה דמוקרטית כאמור, שיחתור לאיחוד הפלגים השונים לכדי חברה ישראלית מגובשת וכן שיאפשר מתן הזדמנות שווה לכל אזרח ותושב ללא הבדל לרכוש השכלה ולעסוק בכל עיסוק, מקצוע או משלח יד בהם יחפוץ."," יד המעביר 9 שכונת הדר יוסף תל אביב","","",
